Standard Drug Name	ID	Gene(s)	Source(s)	Source Drug Name	Show Drug Name	Family(ies)	Status	Pathology	Cancer(s)	target	marker
SB 218795	6604858.0	TACR3	GuideToPharmacologyInteractions	SB 218795	SB 218795	Other	EXPERIMENTAL	-	-		TACR3
CYCLOPENTOLATE	2905.0	CHRM1	TEND	CYCLOPENTOLATE	CYCLOPENTOLATE	Rhodopsin family_Antagonist(KEGG), acetylcholine receptor antagonist(Cmap)	APPROVED	Ophthalmology	-	CHRM1	
VERCIRNON	10343454.0	CCR9	GuideToPharmacologyInteractions	VERCIRNON	VERCIRNON	Chemokine receptors_Antagonist(KEGG), CC chemokine receptor antagonist(Cmap)	EXPERIMENTAL	-	-		CCR9
HYPERFORIN	441298.0	NR1I2|PTGS1|ALOX5|TRPC6	DrugBank	HYPERFORIN	HYPERFORIN	Other	EXPERIMENTAL	-	-	NR1I2|PTGS1|ALOX5	TRPC6
PEXACERFONT	9884366.0	CRHR1	TTD	PEXACERFONT	PEXACERFONT	Secretin receptor family_Antagonist(KEGG)	CLINICAL_TRIALS	-	-	CRHR1	
JNJ-17203212	11339118.0	TRPV1	GuideToPharmacologyInteractions	JNJ17203212	JNJ-17203212	TRPV antagonist(Cmap)	EXPERIMENTAL	-	-		TRPV1
5-METHYLNICOTINIC ACID	256208.0	HCAR2	GuideToPharmacologyInteractions	5-METHYL NICOTINIC ACID	5-METHYLNICOTINIC ACID	Other	EXPERIMENTAL	-	-		HCAR2
VATALANIB	151194.0	PDGFRA|KIT|KDR|CSF1R|PDGFRB|FLT4|FLT1	ChemblInteractions	VATALANIB	VATALANIB	Receptor tyrosine kinase_Inhibitor(KEGG), KIT inhibitor(Cmap), PDGFR tyrosine kinase receptor inhibitor(Cmap), VEGFR inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER	KIT|KDR|PDGFRB|FLT4|FLT1	PDGFRA|CSF1R
CHEMBL155917	9905972.0	NAT1	GuideToPharmacologyInteractions	ML 10375	CHEMBL155917	Other	EXPERIMENTAL	-	-		NAT1
DOXAPRAM HYDROCHLORIDE	64647.0	KCNK3|KCNK9	ChemblInteractions	DOXAPRAM HYDROCHLORIDE	DOXAPRAM HYDROCHLORIDE	Other	APPROVED	Pulmonary/Respiratory disease	-		KCNK3|KCNK9
CHEMBL489798	4369162.0	PYGM	DrugBank	8,9,10-TRIHYDROXY-7-HYDROXYMETHYL-2-THIOXO-6-OXA-1,3-DIAZA-SPIRO[4.5]DECAN-4-ONE	CHEMBL489798	Other	EXPERIMENTAL	-	-	PYGM	
ANTALARMIN	177990.0	CRHR1	GuideToPharmacologyInteractions	ANTALARMIN	ANTALARMIN	Other	EXPERIMENTAL	-	-		CRHR1
A77636	64637.0	DRD1	GuideToPharmacologyInteractions	A77636	A77636	dopamine receptor agonist(Cmap)	EXPERIMENTAL	-	-		DRD1
AZD1208	58423153.0	PIM1|JAK2|PIM3|PIM2	GuideToPharmacologyInteractions	AZD1208	AZD1208	Pim kinase inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER		PIM1|JAK2|PIM3|PIM2
MEGLUTOL	1662.0	HMGCR	DrugBank	3-HYDROXY-3-METHYL-GLUTARIC ACID	MEGLUTOL	HMGCR inhibitor(Cmap)	CLINICAL_TRIALS	-	-	HMGCR	
VELIPARIB	11960529.0	PARP1|PARP3|ATR|MET|PTEN|ATM|BRCA2|PARP2|BRCA1|STAG2|IREB2|ASXL1	TALC	VELIPARIB	VELIPARIB	Transferases_Inhibitor(KEGG), PARP inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER	PARP1|PARP2	PARP3|ATR|MET|PTEN|ATM|BRCA2|BRCA1|STAG2|IREB2|ASXL1
(2R,4R)-APDC	5310984.0	GRM2|GRM3	GuideToPharmacologyInteractions	(2R,3R)-APDC	(2R,4R)-APDC	Other	EXPERIMENTAL	-	-		GRM2|GRM3
2-AMINOETHYL DIPHENYLBORINATE	1598.0	TRPC1|TRPC3|TRPC7|TRPV6|TRPM3|TRPM6|TRPC6|TRPC4|TRPV1|TRPM2|TRPC5	GuideToPharmacologyInteractions	2-APB	2-AMINOETHYL DIPHENYLBORINATE	Other	EXPERIMENTAL	-	-		TRPC1|TRPC3|TRPC7|TRPV6|TRPM3|TRPM6|TRPC6|TRPC4|TRPV1|TRPM2|TRPC5
FESOTERODINE	6918558.0	CHRM3|CHRM2|CHRM4|CHRM1|CHRM5|CYP2D6	TEND	FESOTERODINE	FESOTERODINE	Rhodopsin family_Antagonist(KEGG), acetylcholine receptor antagonist(Cmap)	APPROVED	Nephrology/Urology	-	CHRM3|CHRM2|CHRM4|CHRM1|CHRM5	CYP2D6
8(S)-HETE	5283154.0	PPARA	GuideToPharmacologyInteractions	8S-HETE	8(S)-HETE	Other	EXPERIMENTAL	-	-		PPARA
SARAFOTOXIN 6C	16132429.0	EDNRB	GuideToPharmacologyInteractions	SARAFOTOXIN S6C	SARAFOTOXIN 6C	Other	EXPERIMENTAL	-	-		EDNRB
[3H]S0139	73755056.0	EDNRA	GuideToPharmacologyInteractions	[3H]S0139	[3H]S0139	Other	EXPERIMENTAL	-	-		EDNRA
PRALATREXATE	148121.0	RFC1|DHFR|TYMS	ClearityFoundationClinicalTrial	PRALATREXATE	PRALATREXATE	Oxidoreductases_Inhibitor(KEGG), dihydrofolate reductase inhibitor(Cmap)	APPROVED	Oncology	BLOOD	RFC1|DHFR|TYMS	
OLCEGEPANT	6918509.0	CALCRL|TAP2|CALCA	GuideToPharmacologyInteractions	OLCEGEPANT	OLCEGEPANT	Other	EXPERIMENTAL	-	-	CALCA	CALCRL|TAP2
4-[(3R)-3-{[2-(4-FLUOROPHENYL)-2-OXOETHYL]AMINO}BUTYL]BENZAMIDE	15991577.0	DPP4	DrugBank	4-[(3R)-3-{[2-(4-FLUOROPHENYL)-2-OXOETHYL]AMINO}BUTYL]BENZAMIDE	4-[(3R)-3-{[2-(4-FLUOROPHENYL)-2-OXOETHYL]AMINO}BUTYL]BENZAMIDE	Other	EXPERIMENTAL	-	-	DPP4	
CP 55244	9844074.0	GPR55	GuideToPharmacologyInteractions	CP55,244	CP 55244	Other	EXPERIMENTAL	-	-		GPR55
OXYMORPHONE	5284604.0	OPRD1|OPRM1	TdgClinicalTrial	OXYMORPHONE	OXYMORPHONE	Rhodopsin family_Agonist(KEGG)	APPROVED	Pain management	-	OPRM1	OPRD1
CHEMBL2159511	25164607.0	PSEN1	GuideToPharmacologyInteractions	SCH-900229	CHEMBL2159511	Other	EXPERIMENTAL	-	-		PSEN1
UAMC00039	11232124.0	DPP7	GuideToPharmacologyInteractions	UAMC00039	UAMC00039	Other	EXPERIMENTAL	-	-		DPP7
BML-277	9969021.0	CHEK2	GuideToPharmacologyInteractions	CHK2 INHIBITOR II	BML-277	Other	CLINICAL_TRIALS	-	CANCER		CHEK2
DIOLEOYLPHOSPHATIDIC ACID	9547172.0	ADCY6	GuideToPharmacologyInteractions	DIOLEOYLPHOSPHATIDIC ACID	DIOLEOYLPHOSPHATIDIC ACID	Other	EXPERIMENTAL	-	-		ADCY6
IRON DEXTRAN	105075.0	HBB|FTH1|HBA1|FTL	DrugBank	IRON DEXTRAN	IRON DEXTRAN	Other	APPROVED	Hematology	-	HBB|FTH1|HBA1|FTL	
BMS 299897	11249248.0	APH1A|NCSTN|PSEN2|PSEN1|APH1B|PSENEN	TdgClinicalTrial	BMS-299897	BMS 299897	Other	EXPERIMENTAL	-	-		APH1A|NCSTN|PSEN2|PSEN1|APH1B|PSENEN
XYLAZINE	5707.0	ADRA2B|ADRA2A	GuideToPharmacologyInteractions	XYLAZINE	XYLAZINE	Rhodopsin family_Agonist(KEGG), adrenergic receptor agonist(Cmap)	EXPERIMENTAL	-	-		ADRA2B|ADRA2A
MILNACIPRAN	65833.0	HTR1A|SLC6A2|SLC6A4	PharmGKB	MILNACIPRAN	MILNACIPRAN	Solute carrier family_Inhibitor(KEGG), serotonin–norepinephrine reuptake inhibitor (SNRI)(Cmap)	APPROVED	Musculoskeletal	-	SLC6A2|SLC6A4	HTR1A
BARUSIBAN	9832431.0	OXTR	ChemblInteractions	BARUSIBAN	BARUSIBAN	Other	EXPERIMENTAL	-	-		OXTR
PALONOSETRON	6337614.0	HTR3A|CYP2D6	TdgClinicalTrial	PALONOSETRON	PALONOSETRON	Rhodopsin family_Antagonist(KEGG), serotonin receptor antagonist(Cmap)	APPROVED	Gastroenterology | Oncology	-	HTR3A	CYP2D6
3-FLUORO-5-MORPHOLIN-4-YL-N-[1-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-6-YL]BENZAMIDE	5326869.0	MAPK14	DrugBank	3-FLUORO-5-MORPHOLIN-4-YL-N-[1-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-6-YL]BENZAMIDE	3-FLUORO-5-MORPHOLIN-4-YL-N-[1-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-6-YL]BENZAMIDE	Other	EXPERIMENTAL	-	-	MAPK14	
7A-[(4-CYANOPHENYL)METHYL]-6-(3,5-DICHLOROPHENYL)-5-OXO-2,3,5,7A-TETRAHYDRO-1H-PYRROLO[1,2-A]PYRROLE-7-CARBONITRILE	16040268.0	ITGAL	DrugBank	7A-[(4-CYANOPHENYL)METHYL]-6-(3,5-DICHLOROPHENYL)-5-OXO-2,3,5,7A-TETRAHYDRO-1H-PYRROLO[1,2-A]PYRROLE-7-CARBONITRILE	7A-[(4-CYANOPHENYL)METHYL]-6-(3,5-DICHLOROPHENYL)-5-OXO-2,3,5,7A-TETRAHYDRO-1H-PYRROLO[1,2-A]PYRROLE-7-CARBONITRILE	Other	EXPERIMENTAL	-	-	ITGAL	
F3METHYLAA	9935197.0	PPARG|PPARD|NR1H3|NR1H2	GuideToPharmacologyInteractions	L-783483	F3METHYLAA	Other	EXPERIMENTAL	-	-		PPARG|PPARD|NR1H3|NR1H2
SELENOMETHIONINE	15103.0	GSTP1|KLK3	NCI	SELENOMETHIONINE	SELENOMETHIONINE	Other	EXPERIMENTAL	-	-		GSTP1|KLK3
TRIAZOLOPYRIDINE	5289514.0	MAPK14	DrugBank	TRIAZOLOPYRIDINE	TRIAZOLOPYRIDINE	Other	EXPERIMENTAL	-	-	MAPK14	
L-796449	9891946.0	PPARG|PPARD	GuideToPharmacologyInteractions	L-796449	L-796449	Other	EXPERIMENTAL	-	-		PPARG|PPARD
PHENETHYLBORONIC ACID	65389.0	CTRB1	DrugBank	PHENYLETHANE BORONIC ACID	PHENETHYLBORONIC ACID	Other	EXPERIMENTAL	-	-	CTRB1	
GLIBENCLAMIDE	3488.0	ABCB11|NR1I2|IL2|AQP1|CFTR|ABCA1|KCNJ11|ABCC8|CPT1A|KCNJ1|KCNJ5|ABCC9|SCNN1B|SLC2A4|G6PD|IKBKG	DrugBank	GLYBURIDE	GLIBENCLAMIDE	Other	APPROVED	Endocrinology	-	ABCB11|CFTR|ABCA1|KCNJ11|ABCC8|CPT1A|KCNJ1|KCNJ5|ABCC9	NR1I2|IL2|AQP1|SCNN1B|SLC2A4|G6PD|IKBKG
SB-409513	448008.0	GSK3B	DrugBank	I-5	SB-409513	Other	EXPERIMENTAL	-	-	GSK3B	
GLUCAGON RECOMBINANT	44278361.0	GLP1R|GLP2R|GCGR	DrugBank	GLUCAGON RECOMBINANT	GLUCAGON RECOMBINANT	Other	APPROVED	Endocrinology | Hematology	-	GLP1R|GLP2R|GCGR	
3,5-DIIODOSALICYLIC ACID	8631.0	EDNRA|AKR1C1	DrugBank	2-HYDROXY-3,5-DIIODOBENZOIC ACID	3,5-DIIODOSALICYLIC ACID	Other	EXPERIMENTAL	-	-	EDNRA|AKR1C1	
1,3-PROPANEDIAMINE, N-(2-NITROPHENYL)-	3581192.0	KAT2B	DrugBank	N-(3-AMINOPROPYL)-2-NITROBENZENAMINE	1,3-PROPANEDIAMINE, N-(2-NITROPHENYL)-	Other	EXPERIMENTAL	-	-	KAT2B	
175354-76-4	444617.0	DHFR	DrugBank	N6-(2,5-DIMETHOXY-BENZYL)-N6-METHYL-PYRIDO[2,3-D]PYRIMIDINE-2,4,6-TRIAMINE	175354-76-4	Other	EXPERIMENTAL	-	-	DHFR	
BISINDOLYLMALEIMIDE III	2398.0	PDPK1	DrugBank	3-[1-(3-AMINOPROPYL)-1H-INDOL-3-YL]-4-(1H-INDOL-3-YL)-1H-PYRROLE-2,5-DIONE	BISINDOLYLMALEIMIDE III	Other	EXPERIMENTAL	-	-	PDPK1	
4-VAL-ARGIPRESSIN	171113.0	AVPR1B|AVPR1A|AVPR2	GuideToPharmacologyInteractions	[VAL4]AVP	4-VAL-ARGIPRESSIN	Other	EXPERIMENTAL	-	-		AVPR1B|AVPR1A|AVPR2
GTPL9192	121231409.0	OPRK1	GuideToPharmacologyInteractions	PROBE 2.1 [PMID: 24187130]	GTPL9192	Other	EXPERIMENTAL	-	-		OPRK1
NITRILOTRIACETIC ACID	8758.0	LTF	DrugBank	NITRILOTRIACETIC ACID	NITRILOTRIACETIC ACID	Other	EXPERIMENTAL	-	-	LTF	
5,8-DIMETHOXY-1,4-DIMETHYLQUINOLIN-2(1H)-ONE	1504717.0	NQO2	DrugBank	5,8-DIMETHOXY-1,4-DIMETHYLQUINOLIN-2(1H)-ONE	5,8-DIMETHOXY-1,4-DIMETHYLQUINOLIN-2(1H)-ONE	Other	EXPERIMENTAL	-	-	NQO2	
RAPACURONIUM BROMIDE	5311398.0	CHRNA1|CHRND|CHRNG|CHRNE|CHRNB1	ChemblInteractions	RAPACURONIUM BROMIDE	RAPACURONIUM BROMIDE	Cys-loop superfamily_Antagonist(KEGG)	WITHDRAWN	-	-		CHRNA1|CHRND|CHRNG|CHRNE|CHRNB1
AMANTADINE	2130.0	GRIN3A|DRD2|GRIN2B|GRIN2A|GRIN2C	DrugBank	AMANTADINE	AMANTADINE	glutamate receptor antagonist(Cmap)	APPROVED	Immunology/Infectious disease | Neurology	CLINICAL CANCER	GRIN3A|DRD2	GRIN2B|GRIN2A|GRIN2C
TETRAHYDROZOLINE	5419.0	ADRA1A	DrugBank	TETRYZOLINE	TETRAHYDROZOLINE	adrenergic receptor agonist(Cmap)	EXPERIMENTAL	-	-	ADRA1A	
OXAPROZIN POTASSIUM	23694685.0	PTGS2|PTGS1	ChemblInteractions	OXAPROZIN POTASSIUM	OXAPROZIN POTASSIUM	Other	WITHDRAWN	-	-		PTGS2|PTGS1
3-ETHYL-6-{[(4-FLUOROPHENYL)SULFONYL]AMINO}-2-METHYLBENZOIC ACID	23647763.0	METAP2	DrugBank	3-ETHYL-6-{[(4-FLUOROPHENYL)SULFONYL]AMINO}-2-METHYLBENZOIC ACID	3-ETHYL-6-{[(4-FLUOROPHENYL)SULFONYL]AMINO}-2-METHYLBENZOIC ACID	Other	EXPERIMENTAL	-	-	METAP2	
JNJ 10397049	9869934.0	HCRTR1	GuideToPharmacologyInteractions	JNJ-10397049	JNJ 10397049	Other	EXPERIMENTAL	-	-		HCRTR1
OLVANIL	5311093.0	TRPV1|GPR119	GuideToPharmacologyInteractions	OLVANIL	OLVANIL	TRPV agonist(Cmap)	EXPERIMENTAL	-	-		TRPV1|GPR119
CEFACLOR	51039.0	IL1B|NR1I2	NCI	CEFACLOR	CEFACLOR	bacterial cell wall synthesis inhibitor(Cmap)	APPROVED	Immunology/Infectious disease	-		IL1B|NR1I2
GONADORELIN	638793.0	GNRHR2|GNRHR|ESR1|ERBB2	DrugBank	GONADORELIN	GONADORELIN	Rhodopsin family_Agonist(KEGG), gonadotropin releasing factor hormone receptor agonist(Cmap)	WITHDRAWN	-	-	GNRHR2|GNRHR	ESR1|ERBB2
PIBTU	1331.0	NOS3|NOS2	DrugBank	S,S'-(1,3-PHENYLENE-BIS(1,2-ETHANEDIYL))BIS-ISOTHIOUREA	PIBTU	Other	EXPERIMENTAL	-	-	NOS3	NOS2
WAY-255348	11543746.0	PGR	GuideToPharmacologyInteractions	WAY-255348	WAY-255348	Other	EXPERIMENTAL	-	-		PGR
MAPROTILINE HYDROCHLORIDE	71478.0	NAT1	ChemblInteractions	MAPROTILINE HYDROCHLORIDE	MAPROTILINE HYDROCHLORIDE	Solute carrier family_Inhibitor(KEGG)	APPROVED	Psychiatry/Psychology	-		NAT1
ROPIVACAINE	175805.0	SCN10A	TdgClinicalTrial	ROPIVACAINE	ROPIVACAINE	Voltage-gated cation channels_Blocker(KEGG), sodium channel blocker(Cmap)	APPROVED	Pain management	-	SCN10A	
RAFABEGRON	5493324.0	ADRB3	ChemblInteractions	RAFABEGRON	RAFABEGRON	Other	EXPERIMENTAL	-	-		ADRB3
4-METHOXYBENZOIC ACID	7478.0	PLA2G2E|PLA2G1B	DrugBank	P-ANISIC ACID	4-METHOXYBENZOIC ACID	Other	EXPERIMENTAL	-	-	PLA2G2E|PLA2G1B	
METHSUXIMIDE	6476.0	CACNA1H|CACNA1G|CACNA1I	ChemblInteractions	METHSUXIMIDE	METHSUXIMIDE	T-type calcium channel binder(Cmap)	APPROVED	Neurology	-	CACNA1G|CACNA1I	CACNA1H
1,4-BUTANEDIOL	8064.0	PLA2G2E|PLA2G2A|MAN1B1	DrugBank	1,4-BUTANEDIOL	1,4-BUTANEDIOL	Other	EXPERIMENTAL	-	-	PLA2G2E|PLA2G2A|MAN1B1	
E-6801	10202564.0	HTR6	GuideToPharmacologyInteractions	E6801	E-6801	Other	EXPERIMENTAL	-	-		HTR6
LABRADIMIL	6918284.0	BDKRB2	TTD	LABRADIMIL	LABRADIMIL	Rhodopsin family_Agonist(KEGG)	CLINICAL_TRIALS	-	CANCER	BDKRB2	
2,6-NAPHTHALENEDICARBOXYLIC ACID	14357.0	HBB|HBA1	DrugBank	2,6-DICARBOXYNAPHTHALENE	2,6-NAPHTHALENEDICARBOXYLIC ACID	Other	EXPERIMENTAL	-	-	HBB|HBA1	
(+/-)-BLEBBISTATIN	3476986.0	ADK|ARNT|CREBBP|EPHA6|KAT6B|NUP153|PRKCB|ZNF643	CTRP	BLEBBISTATIN	(+/-)-BLEBBISTATIN	Other	EXPERIMENTAL	-	-		ADK|ARNT|CREBBP|EPHA6|KAT6B|NUP153|PRKCB|ZNF643
4-PHOSPHONOOXY-PHENYL-METHYL-[4-PHOSPHONOOXY]BENZEN	1757.0	PTPN1	DrugBank	4-PHOSPHONOOXY-PHENYL-METHYL-[4-PHOSPHONOOXY]BENZEN	4-PHOSPHONOOXY-PHENYL-METHYL-[4-PHOSPHONOOXY]BENZEN	Other	EXPERIMENTAL	-	-	PTPN1	
PHA-680632	11249084.0	TP53	CKB	PHA-680632	PHA-680632	Aurora kinase inhibitor(Cmap)	EXPERIMENTAL	-	-		TP53
TESOFENSINE	11370864.0	SLC6A2|SLC6A4	TdgClinicalTrial	TESOFENSINE	TESOFENSINE	Other	CLINICAL_TRIALS	-	-		SLC6A2|SLC6A4
4-BROMO-3-(CARBOXYMETHOXY)-5-PHENYLTHIOPHENE-2-CARBOXYLIC ACID	9547959.0	PTPN1	DrugBank	4-BROMO-3-(CARBOXYMETHOXY)-5-PHENYLTHIOPHENE-2-CARBOXYLIC ACID	4-BROMO-3-(CARBOXYMETHOXY)-5-PHENYLTHIOPHENE-2-CARBOXYLIC ACID	Other	EXPERIMENTAL	-	-	PTPN1	
IROSUSTAT	5287541.0	CA2|STS	DrugBank	6-OXO-8,9,10,11-TETRAHYDRO-7H-CYCLOHEPTA[C][1]BENZOPYRAN-3-O-SULFAMATE	IROSUSTAT	Hydrolases_Inhibitor(KEGG), steroid sulfatase inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER	CA2|STS	
S-14297	115007.0	DRD3|DRD2	GuideToPharmacologyInteractions	(+)-S-14297	S-14297	Other	EXPERIMENTAL	-	-		DRD3|DRD2
AG-24322	135413565.0	CDK1|CDK2|CDK4	ChemblInteractions	AG-24322	AG-24322	Other	CLINICAL_TRIALS	-	CANCER	CDK2|CDK4	CDK1
MIRVETUXIMAB SORAVTANSINE	91810695.0	FOLR1	moAb	MIRVETUXIMAB SORAVTANSINE	MIRVETUXIMAB SORAVTANSINE	Other	CLINICAL_TRIALS	-	CANCER	FOLR1	
EPZ-5676	57345410.0	KMT2A|DOT1L	CGI	EPZ-5676	PINOMETOSTAT	histone lysine methyltransferase inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER		KMT2A|DOT1L
N-[3-[(1-AMINOETHYL)(HYDROXY)PHOSPHORYL]-2-(1,1'-BIPHENYL-4-YLMETHYL)PROPANOYL]ALANINE	5478838.0	MME|LTA4H|ANPEP	GuideToPharmacologyInteractions	COMPOUND 1A [PMID: 25692029]	N-[3-[(1-AMINOETHYL)(HYDROXY)PHOSPHORYL]-2-(1,1'-BIPHENYL-4-YLMETHYL)PROPANOYL]ALANINE	Other	EXPERIMENTAL	-	-		MME|LTA4H|ANPEP
MIPOMERSEN	71301230.0	APOB	TdgClinicalTrial	MIPOMERSEN	MIPOMERSEN	Other	APPROVED	Hematology	-		APOB
ABT-126	24987875.0	CHRNA7	ChemblInteractions	ABT-126	ABT-126	Other	CLINICAL_TRIALS	-	-		CHRNA7
TRIAMCINOLONE HEXACETONIDE	21826.0	NR3C1	ChemblInteractions	TRIAMCINOLONE HEXACETONIDE	TRIAMCINOLONE HEXACETONIDE	Estrogen like receptors_Agonist(KEGG)	APPROVED	Dermatology/Plastic surgery	-		NR3C1
UNII-17VAN37K4Y	9867361.0	NR3C1	ChemblInteractions	ORG-34517	UNII-17VAN37K4Y	Other	CLINICAL_TRIALS	-	CANCER	NR3C1	
VOGLIBOSE	444020.0	MGAM	DrugBank	VOGLIBOSE	VOGLIBOSE	Hydrolases_Inhibitor(KEGG), glucosidase inhibitor(Cmap)	CLINICAL_TRIALS	-	-	MGAM	
DIAZEPAM	3016.0	GABRD|SLC2A1|GABRR3|GABRG1|GABRA2|GABRA4|GABRB1|GABRB2|GABRA6|GABRA1|GABRG2|GABRP|GABRR1|GABRR2|CYP3A5|CYP3A4|ADRA1A|CYP2C19|CYP2C9|CCKBR|GABRB3|GABRA5|GABRG3|CYP2B6|TSPO|GABRE|GABRA3|GABRQ|G6PD	DrugBank	DIAZEPAM	DIAZEPAM	Cys-loop superfamily_Agonist(KEGG), benzodiazepine receptor agonist(Cmap)	APPROVED	Neurology | Psychiatry/Psychology	-	GABRD|GABRR3|GABRG1|GABRA2|GABRB1|GABRB2|GABRA1|GABRG2|GABRP|GABRR1|GABRR2|GABRB3|GABRA5|GABRG3|TSPO|GABRE|GABRA3|GABRQ	SLC2A1|GABRA4|GABRA6|CYP3A5|CYP3A4|ADRA1A|CYP2C19|CYP2C9|CCKBR|CYP2B6|G6PD
CARBINOXAMINE MALEATE	5282409.0	HRH1	ChemblInteractions	CARBINOXAMINE MALEATE	CARBINOXAMINE MALEATE	Rhodopsin family_Antagonist(KEGG)	APPROVED	Immunology/Infectious disease	-		HRH1
REBIMASTAT	9913881.0	MMP2	NCI	BMS-275291	REBIMASTAT	Hydrolases_Inhibitor(KEGG)	CLINICAL_TRIALS	-	CANCER		MMP2
GG-2P20	155817478.0	FPR1	GuideToPharmacologyInteractions	GG-2P20	GG-2P20	Other	EXPERIMENTAL	-	-		FPR1
449811-92-1	11406590.0	MAPK14	ChemblInteractions	R-1487	449811-92-1	Other	EXPERIMENTAL	-	-		MAPK14
ANLOTINIB	25017411.0	KIT|KDR|PDGFRB|FLT4|FGFR1|FLT1	ChemblInteractions	ANLOTINIB	ANLOTINIB	VEGFR inhibitor(Cmap), PDGFR tyrosine kinase receptor inhibitor(Cmap)	CLINICAL_TRIALS	-	CANCER		KIT|KDR|PDGFRB|FLT4|FGFR1|FLT1
CHEMBL509485	25920890.0	PTK2B	DrugBank	4-{[4-{[(1R,2R)-2-(DIMETHYLAMINO)CYCLOPENTYL]AMINO}-5-(TRIFLUOROMETHYL)PYRIMIDIN-2-YL]AMINO}-N-METHYLBENZENESULFONAMIDE	CHEMBL509485	Other	EXPERIMENTAL	-	-	PTK2B	
DIAZIQUONE	42616.0	CSF2|CDKN1A	NCI	AZQ	DIAZIQUONE	Chemokines_Monoclonal antibody(KEGG)	EXPERIMENTAL	-	-		CSF2|CDKN1A
HESPERETIN	72281.0	SOAT1|MTTP|DGAT1|SOAT2	DrugBank	HESPERETIN	HESPERETIN	ACAT inhibitor(Cmap)	CLINICAL_TRIALS	-	-	SOAT1|MTTP|DGAT1|SOAT2	
UNII-L0LT4RER76	446642.0	PPARG|PPARA	GuideToPharmacologyInteractions	GW409544	UNII-L0LT4RER76	Other	EXPERIMENTAL	-	-		PPARG|PPARA
ABT-348	46207586.0	FGR|LCK|PDGFRA|KDR|PDGFRB|FLT4|FYN|FRK|BLK|LYN|CDKN2A|FLT1|AURKB|YES1|AURKC|HCK|SRC|AURKA|SRMS	ChemblInteractions	ILORASERTIB	ABT-348	Other	CLINICAL_TRIALS	-	CANCER		FGR|LCK|PDGFRA|KDR|PDGFRB|FLT4|FYN|FRK|BLK|LYN|CDKN2A|FLT1|AURKB|YES1|AURKC|HCK|SRC|AURKA|SRMS
ST-1535	9860294.0	ADORA3|ADORA1|ADORA2B|ADORA2A	GuideToPharmacologyInteractions	ST-1535	ST-1535	Other	EXPERIMENTAL	-	-		ADORA3|ADORA1|ADORA2B|ADORA2A
TANAPROGET	4369524.0	PGR|C1S	DrugBank	TANAPROGET	TANAPROGET	progesterone receptor agonist(Cmap)	EXPERIMENTAL	-	-	PGR|C1S	
GOLOTIMOD	6992140.0	TLR9|TLR2|TLR4|TLR7	DrugBank	SCV-07	GOLOTIMOD	Other	CLINICAL_TRIALS	-	-	TLR9|TLR2|TLR4|TLR7	
CHEMBL352764	448285.0	METAP2	DrugBank	N'-((2S,3R)-3-AMINO-2-HYDROXY-5-(ISOPROPYLSULFANYL)PENTANOYL)-N-3-CHLOROBENZOYL HYDRAZIDE	CHEMBL352764	Other	EXPERIMENTAL	-	-	METAP2	
4-SULFONAMIDE-[1-(4-AMINOBUTANE)]BENZAMIDE	1758.0	CA2	DrugBank	4-SULFONAMIDE-[1-(4-AMINOBUTANE)]BENZAMIDE	4-SULFONAMIDE-[1-(4-AMINOBUTANE)]BENZAMIDE	Other	EXPERIMENTAL	-	-	CA2	
JWH-015	4273754.0	GPR55	GuideToPharmacologyInteractions	JWH015	JWH-015	Other	EXPERIMENTAL	-	-		GPR55
NAADP	123953.0	P2RY11|TRPM2	GuideToPharmacologyInteractions	NAADP	NAADP	Other	EXPERIMENTAL	-	-		P2RY11|TRPM2
3,3',5,5'-TETRACHLORO-4,4'-BIPHENYLDIOL	97032.0	SULT1E1	DrugBank	3,5,3',5'-TETRACHLORO-BIPHENYL-4,4'-DIOL	3,3',5,5'-TETRACHLORO-4,4'-BIPHENYLDIOL	Other	EXPERIMENTAL	-	-	SULT1E1	
CEP-11981	11751922.0	NTRK1|KDR|FLT4|MAP3K7|BLK|FGFR1|STK3|TEK|NTRK2|RET|FLT1	GuideToPharmacologyInteractions	CEP-11981	CEP-11981	Other	EXPERIMENTAL	-	-		NTRK1|KDR|FLT4|MAP3K7|BLK|FGFR1|STK3|TEK|NTRK2|RET|FLT1
CHEMBL371491	4369443.0	MAPK14	DrugBank	2-(ETHOXYMETHYL)-4-(4-FLUOROPHENYL)-3-[2-(2-HYDROXYPHENOXY)PYRIMIDIN-4-YL]ISOXAZOL-5(2H)-ONE	CHEMBL371491	Other	EXPERIMENTAL	-	-	MAPK14	
