drug	repurpose	origin	min_check
TRIFLUOPERAZINE	LIHC	Psychiatry/Psychology	0
ROSIGLITAZONE	LIHC	Endocrinology	0
HALOPERIDOL	LIHC	Psychiatry/Psychology	0
DEHYDROEPIANDROSTERONE	LIHC	Obstetrics/Gynecology	0
TARENFLURBIL	LIHC	Pain management | Musculoskeletal	0
LOVASTATIN	LIHC	Cardiology/Vascular disease	0
PRAMLINTIDE	LIHC	Endocrinology	0
VALPROIC ACID	LIHC	Neurology | Psychiatry/Psychology	0
DEXAMETHASONE	LIHC	Ophthalmology	0
RAPAMYCIN	LIHC	Immunology/Infectious disease | Nephrology/Urology	0
SIMVASTATIN	LIHC	Hematology	0
LITHIUM	LIHC	Psychiatry/Psychology	0
ETHANOL	LIHC	Neurology	0
TERIFLUNOMIDE	LIHC	Neurology	0
SODIUM 4-PHENYLBUTYRATE	LIHC	Hematology	0
PROPYLTHIOURACIL	LUAD	Endocrinology	0
PIOGLITAZONE HYDROCHLORIDE	LUAD	Endocrinology	0
METHYLPREDNISOLONE	LUAD	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
ENALAPRIL	LUAD	Cardiology/Vascular disease	0
CELECOXIB	LUAD	Pain management	0
DIMETHYL FUMARATE	LUAD	Neurology	0
CAPSAICIN	LUAD	Immunology/Infectious disease | Neurology | Pain management	0
PREDNISOLONE	LUAD	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
ROSIGLITAZONE MALEATE	LUAD	Endocrinology	0
SULINDAC	LUAD	Pain management | Musculoskeletal	0
NITROGLYCERIN	LUAD	Cardiology/Vascular disease | Gastroenterology	0
ZINC CHLORIDE	LUAD	Nutraceutical	0
METFORMIN	LUAD	Endocrinology	0
URSODEOXYCHOLIC ACID	LUAD	Gastroenterology	0
METHIMAZOLE	LUAD	Endocrinology	0
ATOVAQUONE	LUAD	Immunology/Infectious disease	0
MILTEFOSINE	LUAD	Immunology/Infectious disease	0
GATIFLOXACIN	LUAD	Ophthalmology | Immunology/Infectious disease	0
INSULIN HUMAN	LUAD	Endocrinology	0
DECITABINE	LUAD	Hematology	0
LOVASTATIN ACID	LUAD	Cardiology/Vascular disease	0
EFLORNITHINE	LUAD	Dermatology/Plastic surgery	0
MIGLITOL	LUAD	Endocrinology	0
TRIFLURIDINE	LUAD	Immunology/Infectious disease | Ophthalmology	0
UREA	LUAD	Dermatology/Plastic surgery	0
BUMETANIDE	LUAD	Cardiology/Vascular disease	0
TRIFLUOPERAZINE	LUAD	Psychiatry/Psychology	0
INSULIN GLARGINE	LUAD	Endocrinology	0
HALOPERIDOL	LUAD	Psychiatry/Psychology	0
DEHYDROEPIANDROSTERONE	LUAD	Obstetrics/Gynecology	0
TARENFLURBIL	LUAD	Pain management | Musculoskeletal	0
PRAMLINTIDE	LUAD	Endocrinology	0
VALPROIC ACID	LUAD	Neurology | Psychiatry/Psychology	0
DEXAMETHASONE	LUAD	Ophthalmology	0
RAPAMYCIN	LUAD	Immunology/Infectious disease | Nephrology/Urology	0
LIDOCAINE	LUAD	Pain management	0
TELMISARTAN	LUAD	Cardiology/Vascular disease	0
ETHANOL	LUAD	Neurology	0
TERIFLUNOMIDE	LUAD	Neurology	0
PROPYLTHIOURACIL	LUSC	Endocrinology	0
L-ASCORBIC ACID	LUSC	Nutraceutical	0
PIOGLITAZONE HYDROCHLORIDE	LUSC	Endocrinology	0
INDOMETHACIN	LUSC	Pain management | Musculoskeletal	0
METHYLPREDNISOLONE	LUSC	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
ENALAPRIL	LUSC	Cardiology/Vascular disease	0
NINTEDANIB	LUSC	Pulmonary/Respiratory disease	0
NINTEDANIB ESYLATE	LUSC	Pulmonary/Respiratory disease	0
BROMOCRIPTINE	LUSC	Endocrinology | Neurology	0
DIMETHYL FUMARATE	LUSC	Neurology	0
CAPSAICIN	LUSC	Immunology/Infectious disease | Neurology | Pain management	0
PREDNISOLONE	LUSC	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
HYDROCORTISONE	LUSC	Dermatology/Plastic surgery	0
ROSIGLITAZONE MALEATE	LUSC	Endocrinology	0
PEGAPTANIB	LUSC	Ophthalmology	0
SULINDAC	LUSC	Pain management | Musculoskeletal	0
DIMETHYL SULFOXIDE	LUSC	Pain management | Nephrology/Urology	0
NITROGLYCERIN	LUSC	Cardiology/Vascular disease | Gastroenterology	0
ZINC CHLORIDE	LUSC	Nutraceutical	0
METFORMIN	LUSC	Endocrinology	0
URSODEOXYCHOLIC ACID	LUSC	Gastroenterology	0
METHIMAZOLE	LUSC	Endocrinology	0
ATOVAQUONE	LUSC	Immunology/Infectious disease	0
MILTEFOSINE	LUSC	Immunology/Infectious disease	0
INSULIN HUMAN	LUSC	Endocrinology	0
DECITABINE	LUSC	Hematology	0
LOVASTATIN ACID	LUSC	Cardiology/Vascular disease	0
GANCICLOVIR	LUSC	Immunology/Infectious disease	0
VITAMIN E	LUSC	Nutraceutical	0
PROGESTERONE	LUSC	Endocrinology | Obstetrics/Gynecology	0
TRIFLURIDINE	LUSC	Immunology/Infectious disease | Ophthalmology	0
CARBAMAZEPINE	LUSC	Neurology | Psychiatry/Psychology	0
TRIFLUOPERAZINE	LUSC	Psychiatry/Psychology	0
ROSIGLITAZONE	LUSC	Endocrinology	0
INSULIN GLARGINE	LUSC	Endocrinology	0
HALOPERIDOL	LUSC	Psychiatry/Psychology	0
DEHYDROEPIANDROSTERONE	LUSC	Obstetrics/Gynecology	0
TARENFLURBIL	LUSC	Pain management | Musculoskeletal	0
PRAMLINTIDE	LUSC	Endocrinology	0
PENTOSAN POLYSULFATE	LUSC	Nephrology/Urology	0
DEXAMETHASONE	LUSC	Ophthalmology	0
RAPAMYCIN	LUSC	Immunology/Infectious disease | Nephrology/Urology	0
TELMISARTAN	LUSC	Cardiology/Vascular disease	0
SIMVASTATIN	LUSC	Hematology	0
LITHIUM	LUSC	Psychiatry/Psychology	0
ETHANOL	LUSC	Neurology	0
TERIFLUNOMIDE	LUSC	Neurology	0
PROPYLTHIOURACIL	PRAD	Endocrinology	0
INSULIN-GLARGINE	PRAD	Endocrinology	0
NELFINAVIR	PRAD	Immunology/Infectious disease	0
METHYLPREDNISOLONE	PRAD	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
ENALAPRIL	PRAD	Cardiology/Vascular disease	0
CELECOXIB	PRAD	Pain management	0
IBUPROFEN	PRAD	Pain management	0
LIOTHYRONINE	PRAD	Endocrinology	0
SULINDAC	PRAD	Pain management | Musculoskeletal	0
DIMETHYL SULFOXIDE	PRAD	Pain management | Nephrology/Urology	0
NITROGLYCERIN	PRAD	Cardiology/Vascular disease | Gastroenterology	0
ZINC CHLORIDE	PRAD	Nutraceutical	0
INSULIN LISPRO	PRAD	Endocrinology	0
METFORMIN	PRAD	Endocrinology	0
URSODEOXYCHOLIC ACID	PRAD	Gastroenterology	0
METHIMAZOLE	PRAD	Endocrinology	0
MILTEFOSINE	PRAD	Immunology/Infectious disease	0
INSULIN DETEMIR	PRAD	Endocrinology	0
DECITABINE	PRAD	Hematology	0
PIRFENIDONE	PRAD	Pulmonary/Respiratory disease	0
LOVASTATIN ACID	PRAD	Cardiology/Vascular disease	0
EFLORNITHINE	PRAD	Dermatology/Plastic surgery	0
GANCICLOVIR	PRAD	Immunology/Infectious disease	0
VITAMIN E	PRAD	Nutraceutical	0
PROGESTERONE	PRAD	Endocrinology | Obstetrics/Gynecology	0
INSULIN DEGLUDEC	PRAD	Endocrinology	0
TRIFLURIDINE	PRAD	Immunology/Infectious disease | Ophthalmology	0
UREA	PRAD	Dermatology/Plastic surgery	0
TRIFLUOPERAZINE	PRAD	Psychiatry/Psychology	0
INSULIN GLARGINE	PRAD	Endocrinology	0
HALOPERIDOL	PRAD	Psychiatry/Psychology	0
DEHYDROEPIANDROSTERONE	PRAD	Obstetrics/Gynecology	0
TARENFLURBIL	PRAD	Pain management | Musculoskeletal	0
PRAMLINTIDE	PRAD	Endocrinology	0
RAPAMYCIN	PRAD	Immunology/Infectious disease | Nephrology/Urology	0
RISPERIDONE	PRAD	Psychiatry/Psychology	0
PROPYLTHIOURACIL	SKCM	Endocrinology	0
L-ASCORBIC ACID	SKCM	Nutraceutical	0
METHYLPREDNISOLONE	SKCM	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
ENALAPRIL	SKCM	Cardiology/Vascular disease	0
CELECOXIB	SKCM	Pain management	0
DIMETHYL FUMARATE	SKCM	Neurology	0
CAPSAICIN	SKCM	Immunology/Infectious disease | Neurology | Pain management	0
PREDNISOLONE	SKCM	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
DIMETHYL SULFOXIDE	SKCM	Pain management | Nephrology/Urology	0
NITROGLYCERIN	SKCM	Cardiology/Vascular disease | Gastroenterology	0
ZINC CHLORIDE	SKCM	Nutraceutical	0
METFORMIN	SKCM	Endocrinology	0
URSODEOXYCHOLIC ACID	SKCM	Gastroenterology	0
NICOTINE	SKCM	Psychiatry/Psychology	0
METHIMAZOLE	SKCM	Endocrinology	0
DEOXYCHOLIC ACID	SKCM	Dermatology/Plastic surgery	0
ATOVAQUONE	SKCM	Immunology/Infectious disease	0
INSULIN HUMAN	SKCM	Endocrinology	0
DECITABINE	SKCM	Hematology	0
LOVASTATIN ACID	SKCM	Cardiology/Vascular disease	0
L-GLUTAMINE	SKCM	Nutraceutical	0
VITAMIN E	SKCM	Nutraceutical	0
PROGESTERONE	SKCM	Endocrinology | Obstetrics/Gynecology	0
TRIFLURIDINE	SKCM	Immunology/Infectious disease | Ophthalmology	0
UREA	SKCM	Dermatology/Plastic surgery	0
BUMETANIDE	SKCM	Cardiology/Vascular disease	0
TRIFLUOPERAZINE	SKCM	Psychiatry/Psychology	0
INSULIN GLARGINE	SKCM	Endocrinology	0
HALOPERIDOL	SKCM	Psychiatry/Psychology	0
TARENFLURBIL	SKCM	Pain management | Musculoskeletal	0
APREMILAST	SKCM	Immunology/Infectious disease | Musculoskeletal	0
PRAMLINTIDE	SKCM	Endocrinology	0
DEXAMETHASONE	SKCM	Ophthalmology	0
RAPAMYCIN	SKCM	Immunology/Infectious disease | Nephrology/Urology	0
SEMAXANIB	SKCM	Hematology	0
TERIFLUNOMIDE	SKCM	Neurology	0
PROPYLTHIOURACIL	STAD	Endocrinology	0
PIOGLITAZONE HYDROCHLORIDE	STAD	Endocrinology	0
QUINAPRIL	STAD	Cardiology/Vascular disease	0
METHYLPREDNISOLONE	STAD	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
ENALAPRIL	STAD	Cardiology/Vascular disease	0
CELECOXIB	STAD	Pain management	0
TRIHEXYPHENIDYL	STAD	Neurology	0
CYCLOPENTOLATE	STAD	Ophthalmology	0
IBUPROFEN	STAD	Pain management	0
DIMETHYL FUMARATE	STAD	Neurology	0
CAPSAICIN	STAD	Immunology/Infectious disease | Neurology | Pain management	0
LIOTHYRONINE	STAD	Endocrinology	0
FLAVOXATE	STAD	Nephrology/Urology	0
HYDROCORTISONE	STAD	Dermatology/Plastic surgery	0
ROSIGLITAZONE MALEATE	STAD	Endocrinology	0
TRIHEXYPHENIDYL HYDROCHLORIDE	STAD	Neurology	0
SULINDAC	STAD	Pain management | Musculoskeletal	0
ZINC CHLORIDE	STAD	Nutraceutical	0
METFORMIN	STAD	Endocrinology	0
URSODEOXYCHOLIC ACID	STAD	Gastroenterology	0
METHIMAZOLE	STAD	Endocrinology	0
MILTEFOSINE	STAD	Immunology/Infectious disease	0
ALUMINUM	STAD	Gastroenterology	0
POTASSIUM	STAD	Hematology | Nephrology/Urology	0
DECITABINE	STAD	Hematology	0
LOVASTATIN ACID	STAD	Cardiology/Vascular disease	0
EFLORNITHINE	STAD	Dermatology/Plastic surgery	0
L-GLUTAMINE	STAD	Nutraceutical	0
GANCICLOVIR	STAD	Immunology/Infectious disease	0
VITAMIN E	STAD	Nutraceutical	0
PROGESTERONE	STAD	Endocrinology | Obstetrics/Gynecology	0
TRIFLURIDINE	STAD	Immunology/Infectious disease | Ophthalmology	0
UREA	STAD	Dermatology/Plastic surgery	0
CICLOPIROX	STAD	Immunology/Infectious disease	0
LUMEFANTRINE	STAD	Immunology/Infectious disease	0
TRIFLUOPERAZINE	STAD	Psychiatry/Psychology	0
INSULIN GLARGINE	STAD	Endocrinology	0
HALOPERIDOL	STAD	Psychiatry/Psychology	0
DEHYDROEPIANDROSTERONE	STAD	Obstetrics/Gynecology	0
TARENFLURBIL	STAD	Pain management | Musculoskeletal	0
PRAMLINTIDE	STAD	Endocrinology	0
MAGNESIUM	STAD	Nutraceutical	0
RAPAMYCIN	STAD	Immunology/Infectious disease | Nephrology/Urology	0
TELMISARTAN	STAD	Cardiology/Vascular disease	0
PROPYLTHIOURACIL	UCEC	Endocrinology	0
L-ASCORBIC ACID	UCEC	Nutraceutical	0
QUINAPRIL	UCEC	Cardiology/Vascular disease	0
INDOMETHACIN	UCEC	Pain management | Musculoskeletal	0
NELFINAVIR	UCEC	Immunology/Infectious disease	0
METHYLPREDNISOLONE	UCEC	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
ENALAPRIL	UCEC	Cardiology/Vascular disease	0
NINTEDANIB	UCEC	Pulmonary/Respiratory disease	0
NINTEDANIB ESYLATE	UCEC	Pulmonary/Respiratory disease	0
BROMOCRIPTINE	UCEC	Endocrinology | Neurology	0
DIMETHYL FUMARATE	UCEC	Neurology	0
CAPSAICIN	UCEC	Immunology/Infectious disease | Neurology | Pain management	0
PREDNISOLONE	UCEC	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
HYDROCORTISONE	UCEC	Dermatology/Plastic surgery	0
SULINDAC	UCEC	Pain management | Musculoskeletal	0
ZINC CHLORIDE	UCEC	Nutraceutical	0
METFORMIN	UCEC	Endocrinology	0
URSODEOXYCHOLIC ACID	UCEC	Gastroenterology	0
METHIMAZOLE	UCEC	Endocrinology	0
MILTEFOSINE	UCEC	Immunology/Infectious disease	0
INSULIN HUMAN	UCEC	Endocrinology	0
DECITABINE	UCEC	Hematology	0
ACETAMINOPHEN	UCEC	Pain management	0
LOVASTATIN ACID	UCEC	Cardiology/Vascular disease	0
GANCICLOVIR	UCEC	Immunology/Infectious disease	0
VITAMIN E	UCEC	Nutraceutical	0
ISOPROTERENOL	UCEC	Pulmonary/Respiratory disease	0
TRIFLURIDINE	UCEC	Immunology/Infectious disease | Ophthalmology	0
UREA	UCEC	Dermatology/Plastic surgery	0
TRIFLUOPERAZINE	UCEC	Psychiatry/Psychology	0
ROSIGLITAZONE	UCEC	Endocrinology	0
HALOPERIDOL	UCEC	Psychiatry/Psychology	0
NIFEDIPINE	UCEC	Cardiology/Vascular disease	0
DEHYDROEPIANDROSTERONE	UCEC	Obstetrics/Gynecology	0
TARENFLURBIL	UCEC	Pain management | Musculoskeletal	0
PRAMLINTIDE	UCEC	Endocrinology	0
VALPROIC ACID	UCEC	Neurology | Psychiatry/Psychology	0
PENTOSAN POLYSULFATE	UCEC	Nephrology/Urology	0
DEXAMETHASONE	UCEC	Ophthalmology	0
RAPAMYCIN	UCEC	Immunology/Infectious disease | Nephrology/Urology	0
SIMVASTATIN	UCEC	Hematology	0
LITHIUM	UCEC	Psychiatry/Psychology	0
ETHANOL	UCEC	Neurology	0
RISPERIDONE	UCEC	Psychiatry/Psychology	0
PROPYLTHIOURACIL	UCS	Endocrinology	0
PIOGLITAZONE HYDROCHLORIDE	UCS	Endocrinology	0
QUINAPRIL	UCS	Cardiology/Vascular disease	0
METHYLPREDNISOLONE	UCS	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
ENALAPRIL	UCS	Cardiology/Vascular disease	0
HYDRALAZINE	UCS	Cardiology/Vascular disease	0
DIMETHYL FUMARATE	UCS	Neurology	0
CAPSAICIN	UCS	Immunology/Infectious disease | Neurology | Pain management	0
PREDNISOLONE	UCS	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
ROSIGLITAZONE MALEATE	UCS	Endocrinology	0
SULINDAC	UCS	Pain management | Musculoskeletal	0
ZINC CHLORIDE	UCS	Nutraceutical	0
METFORMIN	UCS	Endocrinology	0
URSODEOXYCHOLIC ACID	UCS	Gastroenterology	0
METHIMAZOLE	UCS	Endocrinology	0
MILTEFOSINE	UCS	Immunology/Infectious disease	0
INSULIN HUMAN	UCS	Endocrinology	0
DECITABINE	UCS	Hematology	0
PIRFENIDONE	UCS	Pulmonary/Respiratory disease	0
LOVASTATIN ACID	UCS	Cardiology/Vascular disease	0
DOXYCYCLINE	UCS	Immunology/Infectious disease	0
L-GLUTAMINE	UCS	Nutraceutical	0
PROGESTERONE	UCS	Endocrinology | Obstetrics/Gynecology	0
ISOPROTERENOL	UCS	Pulmonary/Respiratory disease	0
TRIFLURIDINE	UCS	Immunology/Infectious disease | Ophthalmology	0
TRIFLUOPERAZINE	UCS	Psychiatry/Psychology	0
INSULIN GLARGINE	UCS	Endocrinology	0
HALOPERIDOL	UCS	Psychiatry/Psychology	0
DEHYDROEPIANDROSTERONE	UCS	Obstetrics/Gynecology	0
TARENFLURBIL	UCS	Pain management | Musculoskeletal	0
PRAMLINTIDE	UCS	Endocrinology	0
DEXAMETHASONE	UCS	Ophthalmology	0
RAPAMYCIN	UCS	Immunology/Infectious disease | Nephrology/Urology	0
