drug	repurpose	origin	min_check
DURVALUMAB	COADREAD	Oncology	0
LETROZOLE	COADREAD	Oncology	0
TEMOZOLOMIDE	COADREAD	Oncology	0
ADO-TRASTUZUMAB EMTANSINE	COADREAD	Oncology	0
IXABEPILONE	COADREAD	Oncology	0
CAPSAICIN	COADREAD	Immunology/Infectious disease | Neurology | Pain management	0
FULVESTRANT	COADREAD	Oncology	0
CABOZANTINIB	COADREAD	Oncology	0
AFATINIB DIMALEATE	COADREAD	Oncology	0
AZD-9291 MESYLATE	COADREAD	Oncology	0
LAPATINIB	COADREAD	Oncology	0
AMIFOSTINE	COADREAD	Oncology | Nephrology/Urology | Otolaryngology	0
PRAMLINTIDE	COADREAD	Endocrinology	0
SUNITINIB	COADREAD	Oncology	0
PIOGLITAZONE HYDROCHLORIDE	COADREAD	Endocrinology	1
ROSIGLITAZONE MALEATE	COADREAD	Endocrinology	1
REPAGLINIDE	COADREAD	Endocrinology	0
SORAFENIB TOSYLATE	COADREAD	Oncology	0
LIOTHYRONINE	COADREAD	Endocrinology	0
EPIRUBICIN	COADREAD	Oncology	0
UREA	COADREAD	Dermatology/Plastic surgery	0
METHYLPREDNISOLONE	COADREAD	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
RIFABUTIN	COADREAD	Immunology/Infectious disease	0
IFOSFAMIDE	COADREAD	Oncology	0
MILTEFOSINE	COADREAD	Immunology/Infectious disease	0
NERATINIB	COADREAD	Oncology	0
FLOXURIDINE	COADREAD	Oncology	0
PERTUZUMAB	COADREAD	Oncology	0
ITRACONAZOLE	COADREAD	Immunology/Infectious disease	0
NECITUMUMAB	COADREAD	Oncology	0
LAPATINIB DITOSYLATE	COADREAD	Oncology	0
VISMODEGIB	COADREAD	Oncology	0
DABRAFENIB MESYLATE	COADREAD	Oncology	0
THIOTEPA	COADREAD	Immunology/Infectious disease | Oncology	0
5-AMINOLEVULINIC ACID	COADREAD	Dermatology/Plastic surgery	0
ENZALUTAMIDE	COADREAD	Oncology	0
ABIRATERONE	COADREAD	Oncology	0
TRABECTEDIN	COADREAD	Oncology	0
TRIHEXYPHENIDYL	COADREAD	Neurology	0
CYCLOPENTOLATE	COADREAD	Ophthalmology	0
TROSPIUM	COADREAD	Nephrology/Urology	0
TRIHEXYPHENIDYL HYDROCHLORIDE	COADREAD	Neurology	0
COBIMETINIB FUMARATE	COADREAD	Oncology	0
1187431-43-1	COADREAD	Oncology	0
INSULIN GLARGINE	COADREAD	Endocrinology	1
MECASERMIN	COADREAD	Endocrinology	1
ZINC CHLORIDE	COADREAD	Nutraceutical	0
TRIFLURIDINE	COADREAD	Immunology/Infectious disease | Ophthalmology	0
PEGADEMASE BOVINE	COADREAD	Immunology/Infectious disease	0
EDARAVONE	COADREAD	Musculoskeletal	0
DIMETHYL FUMARATE	COADREAD	Neurology	0
LOVASTATIN ACID	COADREAD	Cardiology/Vascular disease	0
IRINOTECAN	ESCA	Oncology	0
ETHANOL	ESCA	Neurology	0
MIDOSTAURIN	ESCA	Oncology	0
CARBOPLATIN	ESCA	Oncology	0
RETINOIC ACID	ESCA	Dermatology/Plastic surgery | Oncology	0
VINCRISTINE	ESCA	Oncology	0
CYTARABINE	ESCA	Oncology	0
STREPTOZOCIN	ESCA	Oncology	0
IDELALISIB	ESCA	Oncology	0
COPANLISIB	ESCA	Oncology	0
RAPAMYCIN	ESCA	Immunology/Infectious disease | Nephrology/Urology	0
EVEROLIMUS	ESCA	Immunology/Infectious disease | Nephrology/Urology | Oncology	0
TEMSIROLIMUS	ESCA	Oncology	0
METFORMIN	ESCA	Endocrinology	0
PAZOPANIB	ESCA	Oncology	0
5-FLUOROURACIL	ESCA	Oncology | Dermatology/Plastic surgery	0
6-MERCAPTOPURINE	ESCA	Oncology	0
OXALIPLATIN	ESCA	Oncology	0
VINORELBINE	ESCA	Oncology	0
PACLITAXEL	ESCA	Oncology	0
CYCLOPHOSPHAMIDE	ESCA	Oncology | Nephrology/Urology	0
DOCETAXEL	ESCA	Oncology	0
BEVACIZUMAB	ESCA	Oncology	0
GEMCITABINE	ESCA	Oncology	0
PEMETREXED	ESCA	Oncology	0
L-ASCORBIC ACID	ESCA	Nutraceutical	0
LITHIUM	ESCA	Psychiatry/Psychology	0
DASATINIB	ESCA	Oncology	0
REGORAFENIB	ESCA	Oncology	0
VANDETANIB	ESCA	Oncology	0
DOXORUBICIN	ESCA	Oncology	0
BROMOCRIPTINE	ESCA	Endocrinology | Neurology	0
INDOMETHACIN	ESCA	Pain management | Musculoskeletal	0
CETUXIMAB	ESCA	Oncology	0
RITUXIMAB	ESCA	Oncology	0
HALOPERIDOL	ESCA	Psychiatry/Psychology	0
PONATINIB	ESCA	Oncology	0
ACALABRUTINIB	ESCA	Oncology	0
IBRUTINIB	ESCA	Oncology	0
VORINOSTAT	ESCA	Oncology	0
BELINOSTAT	ESCA	Oncology	0
ROMIDEPSIN	ESCA	Oncology	0
BORTEZOMIB	ESCA	Oncology	0
FILGRASTIM	ESCA	Hematology | Oncology	0
ROSIGLITAZONE	ESCA	Endocrinology	0
ERLOTINIB HYDROCHLORIDE	ESCA	Oncology	0
PROPYLTHIOURACIL	ESCA	Endocrinology	0
PEMBROLIZUMAB	ESCA	Oncology	0
DEXAMETHASONE	ESCA	Ophthalmology	0
MITOMYCIN C	ESCA	Oncology	0
CAPECITABINE	ESCA	Oncology	0
CHLORAMBUCIL	ESCA	Oncology	0
METHOTREXATE	ESCA	Oncology | Dermatology/Plastic surgery | Musculoskeletal	0
RIBOCICLIB	ESCA	Oncology	0
TRAMETINIB	ESCA	Oncology	0
COBIMETINIB	ESCA	Oncology	0
PANITUMUMAB	ESCA	Oncology	0
SORAFENIB	ESCA	Oncology	0
VEMURAFENIB	ESCA	Oncology	0
PALBOCICLIB	ESCA	Oncology	0
AZD-9291	ESCA	Oncology	0
GEFITINIB	ESCA	Oncology	0
DABRAFENIB	ESCA	Oncology	0
AFATINIB	ESCA	Oncology	0
ABEMACICLIB	ESCA	Oncology	0
RALOXIFENE	ESCA	Musculoskeletal | Oncology	0
TARENFLURBIL	ESCA	Pain management | Musculoskeletal	0
ABT-199	ESCA	Oncology	0
HYDROCORTISONE	ESCA	Dermatology/Plastic surgery	0
SIMVASTATIN	ESCA	Hematology	0
METHIMAZOLE	ESCA	Endocrinology	0
PREDNISOLONE	ESCA	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
TAMOXIFEN	ESCA	Oncology	0
EXEMESTANE	ESCA	Oncology	0
IMATINIB	ESCA	Oncology	0
CRIZOTINIB	ESCA	Oncology	0
DEHYDROEPIANDROSTERONE	ESCA	Obstetrics/Gynecology	0
ERLOTINIB	ESCA	Oncology	0
URSODEOXYCHOLIC ACID	ESCA	Gastroenterology	0
SULINDAC	ESCA	Pain management | Musculoskeletal	0
DECITABINE	ESCA	Hematology	0
OLAPARIB	ESCA	Oncology	0
ENALAPRIL	ESCA	Cardiology/Vascular disease	0
PILOCARPINE HYDROCHLORIDE	ESCA	Otolaryngology | Oncology | Ophthalmology	0
CEVIMELINE HYDROCHLORIDE	ESCA	Immunology/Infectious disease	0
DICYCLOMINE HYDROCHLORIDE	ESCA	Gastroenterology	0
SCOPOLAMINE METHYL BROMIDE	ESCA	Gastroenterology	0
CLIDINIUM BROMIDE	ESCA	Gastroenterology	0
FLUDARABINE PHOSPHATE	ESCA	Oncology	0
GEMCITABINE HYDROCHLORIDE	ESCA	Oncology	0
NETARSUDIL	ESCA	Ophthalmology	0
ETOPOSIDE	ESCA	Oncology	0
ERISMODEGIB	ESCA	Oncology	0
VITAMIN E	ESCA	Nutraceutical	0
TRIFLUOPERAZINE	ESCA	Psychiatry/Psychology	0
DAUNORUBICIN	ESCA	Oncology	0
ALECTINIB	ESCA	Oncology	0
BRIGATINIB	ESCA	Oncology	1
TOPOTECAN	ESCA	Oncology	0
DURVALUMAB	ESCA	Oncology	0
ANASTROZOLE	ESCA	Oncology	0
LETROZOLE	ESCA	Oncology	0
TEMOZOLOMIDE	ESCA	Oncology	0
ADO-TRASTUZUMAB EMTANSINE	ESCA	Oncology	0
CAPSAICIN	ESCA	Immunology/Infectious disease | Neurology | Pain management	0
FLUTAMIDE	ESCA	Oncology	0
FULVESTRANT	ESCA	Oncology	0
CABOZANTINIB	ESCA	Oncology	0
BICALUTAMIDE	ESCA	Oncology	0
AFATINIB DIMALEATE	ESCA	Oncology	0
AZD-9291 MESYLATE	ESCA	Oncology	0
LAPATINIB	ESCA	Oncology	0
PRAMLINTIDE	ESCA	Endocrinology	0
SUNITINIB	ESCA	Oncology	0
DOXYLAMINE	ESCA	Neurology | Immunology/Infectious disease | Obstetrics/Gynecology	0
CARBINOXAMINE	ESCA	Immunology/Infectious disease	0
EPIRUBICIN	ESCA	Oncology	0
METHYLPREDNISOLONE	ESCA	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
IFOSFAMIDE	ESCA	Oncology	0
MILTEFOSINE	ESCA	Immunology/Infectious disease	0
NERATINIB	ESCA	Oncology	0
FLOXURIDINE	ESCA	Oncology	0
PERTUZUMAB	ESCA	Oncology	0
GANCICLOVIR	ESCA	Immunology/Infectious disease	0
ITRACONAZOLE	ESCA	Immunology/Infectious disease	0
NECITUMUMAB	ESCA	Oncology	0
LAPATINIB DITOSYLATE	ESCA	Oncology	0
RIBOCICLIB SUCCINATE	ESCA	Oncology	0
VISMODEGIB	ESCA	Oncology	0
THIOTEPA	ESCA	Immunology/Infectious disease | Oncology	0
MIGLUSTAT	ESCA	Storage disease	0
ELIGLUSTAT TARTRATE	ESCA	Storage disease	0
ASPARAGINASE	ESCA	Oncology	0
TRABECTEDIN	ESCA	Oncology	0
BENZTROPINE MESYLATE	ESCA	Neurology	0
TRIHEXYPHENIDYL	ESCA	Neurology	0
CYCLOPENTOLATE	ESCA	Ophthalmology	0
TROSPIUM	ESCA	Nephrology/Urology	0
TRIHEXYPHENIDYL HYDROCHLORIDE	ESCA	Neurology	0
WARFARIN SODIUM	ESCA	Hematology	0
ZINC CHLORIDE	ESCA	Nutraceutical	0
TRIFLURIDINE	ESCA	Immunology/Infectious disease | Ophthalmology	0
PEGADEMASE BOVINE	ESCA	Immunology/Infectious disease	0
EDARAVONE	ESCA	Musculoskeletal	1
DIMETHYL FUMARATE	ESCA	Neurology	0
LOVASTATIN ACID	ESCA	Cardiology/Vascular disease	0
IRINOTECAN	GBM	Oncology	0
ETHANOL	GBM	Neurology	0
ESTAZOLAM	GBM	Neurology	0
TEMAZEPAM	GBM	Neurology	0
DIAZEPAM	GBM	Neurology | Psychiatry/Psychology	0
OXAZEPAM	GBM	Psychiatry/Psychology	0
TRIAZOLAM	GBM	Neurology	0
CLORAZEPATE DIPOTASSIUM	GBM	Neurology | Psychiatry/Psychology	0
CHLORDIAZEPOXIDE	GBM	Psychiatry/Psychology	0
CLOPOXIDE CHLORIDE	GBM	Psychiatry/Psychology	0
MEPROBAMATE	GBM	Psychiatry/Psychology	0
ALPRAZOLAM	GBM	Psychiatry/Psychology	0
CLONAZEPAM	GBM	Neurology	0
DESFLURANE	GBM	Pain management	0
ACAMPROSATE CALCIUM	GBM	Psychiatry/Psychology	0
LORAZEPAM	GBM	Psychiatry/Psychology	0
MIDAZOLAM HYDROCHLORIDE	GBM	Pain management	0
PRIMIDONE	GBM	Neurology	0
PENTOBARBITAL	GBM	Neurology | Psychiatry/Psychology	0
PENTOBARBITAL SODIUM	GBM	Neurology | Psychiatry/Psychology	0
SECOBARBITAL SODIUM	GBM	Neurology	0
ETOMIDATE	GBM	Pain management	0
FLURAZEPAM DIHYDROCHLORIDE	GBM	Neurology	0
ISOFLURANE	GBM	Pain management	0
TOPIRAMATE	GBM	Neurology	0
CLORAZEPATE	GBM	Neurology | Psychiatry/Psychology	0
FLURAZEPAM	GBM	Neurology	0
MIDAZOLAM	GBM	Pain management	0
CLOBAZAM	GBM	Neurology	0
BUTALBITAL	GBM	Pain management	0
SEVOFLURANE	GBM	Pain management	0
FLUMAZENIL	GBM	Pharmacology/Toxicology	0
PROPOFOL	GBM	Pain management	0
METHOHEXITAL SODIUM	GBM	Pain management	0
ESZOPICLONE	GBM	Neurology	0
MIDOSTAURIN	GBM	Oncology	0
CARBOPLATIN	GBM	Oncology	0
RETINOIC ACID	GBM	Dermatology/Plastic surgery | Oncology	0
VINCRISTINE	GBM	Oncology	0
CYTARABINE	GBM	Oncology	0
STREPTOZOCIN	GBM	Oncology	0
IDELALISIB	GBM	Oncology	0
COPANLISIB	GBM	Oncology	0
RAPAMYCIN	GBM	Immunology/Infectious disease | Nephrology/Urology	0
TEMSIROLIMUS	GBM	Oncology	0
METFORMIN	GBM	Endocrinology	0
PAZOPANIB	GBM	Oncology	0
5-FLUOROURACIL	GBM	Oncology | Dermatology/Plastic surgery	0
6-MERCAPTOPURINE	GBM	Oncology	0
OXALIPLATIN	GBM	Oncology	0
PACLITAXEL	GBM	Oncology	0
CYCLOPHOSPHAMIDE	GBM	Oncology | Nephrology/Urology	0
DOCETAXEL	GBM	Oncology	0
GEMCITABINE	GBM	Oncology	0
PEMETREXED	GBM	Oncology	0
DASATINIB	GBM	Oncology	0
REGORAFENIB	GBM	Oncology	0
VANDETANIB	GBM	Oncology	0
DOXORUBICIN	GBM	Oncology	0
CYCLOSPORIN A	GBM	Immunology/Infectious disease | Ophthalmology	0
CETUXIMAB	GBM	Oncology	0
TRASTUZUMAB	GBM	Oncology	0
RITUXIMAB	GBM	Oncology	0
HALOPERIDOL	GBM	Psychiatry/Psychology	0
PROGESTERONE	GBM	Endocrinology | Obstetrics/Gynecology	0
NINTEDANIB	GBM	Pulmonary/Respiratory disease	0
PONATINIB	GBM	Oncology	0
ACALABRUTINIB	GBM	Oncology	0
IBRUTINIB	GBM	Oncology	0
PAZOPANIB HYDROCHLORIDE	GBM	Oncology	0
VORINOSTAT	GBM	Oncology	0
PANOBINOSTAT	GBM	Oncology	0
BORTEZOMIB	GBM	Oncology	0
5-AZACYTIDINE	GBM	Oncology	0
ERLOTINIB HYDROCHLORIDE	GBM	Oncology	0
ISOPROTERENOL	GBM	Pulmonary/Respiratory disease	0
PROPYLTHIOURACIL	GBM	Endocrinology	0
VINBLASTINE	GBM	Oncology	0
PEMBROLIZUMAB	GBM	Oncology	0
DEXAMETHASONE	GBM	Ophthalmology	0
MITOMYCIN C	GBM	Oncology	0
CAPECITABINE	GBM	Oncology	0
METHOTREXATE	GBM	Oncology | Dermatology/Plastic surgery | Musculoskeletal	0
NITROGLYCERIN	GBM	Cardiology/Vascular disease | Gastroenterology	0
AXITINIB	GBM	Oncology	0
RIBOCICLIB	GBM	Oncology	0
TRAMETINIB	GBM	Oncology	0
COBIMETINIB	GBM	Oncology	0
ATEZOLIZUMAB	GBM	Oncology	0
PANITUMUMAB	GBM	Oncology	0
SORAFENIB	GBM	Oncology	0
VEMURAFENIB	GBM	Oncology	0
LENVATINIB	GBM	Oncology	0
PALBOCICLIB	GBM	Oncology	0
AZD-9291	GBM	Oncology	0
GEFITINIB	GBM	Oncology	0
DABRAFENIB	GBM	Oncology	0
AFATINIB	GBM	Oncology	0
ABEMACICLIB	GBM	Oncology	0
RALOXIFENE	GBM	Musculoskeletal | Oncology	0
TARENFLURBIL	GBM	Pain management | Musculoskeletal	0
ABT-199	GBM	Oncology	0
METHIMAZOLE	GBM	Endocrinology	0
PREDNISOLONE	GBM	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
TAMOXIFEN	GBM	Oncology	0
IMATINIB	GBM	Oncology	0
CRIZOTINIB	GBM	Oncology	0
DEHYDROEPIANDROSTERONE	GBM	Obstetrics/Gynecology	0
NILOTINIB	GBM	Oncology	0
ERLOTINIB	GBM	Oncology	0
BOSUTINIB	GBM	Oncology	0
URSODEOXYCHOLIC ACID	GBM	Gastroenterology	0
SULINDAC	GBM	Pain management | Musculoskeletal	0
DECITABINE	GBM	Hematology	0
OLAPARIB	GBM	Oncology	0
RUCAPARIB	GBM	Oncology	0
NIRAPARIB	GBM	Oncology	0
ENALAPRIL	GBM	Cardiology/Vascular disease	0
NETARSUDIL	GBM	Ophthalmology	0
ETOPOSIDE	GBM	Oncology	0
ERISMODEGIB	GBM	Oncology	0
TRIFLUOPERAZINE	GBM	Psychiatry/Psychology	0
DAUNORUBICIN	GBM	Oncology	0
IDARUBICIN	GBM	Oncology	0
ALECTINIB	GBM	Oncology	0
BRIGATINIB	GBM	Oncology	0
TOPOTECAN	GBM	Oncology	0
DURVALUMAB	GBM	Oncology	0
NIVOLUMAB	GBM	Oncology	0
LETROZOLE	GBM	Oncology	0
ADO-TRASTUZUMAB EMTANSINE	GBM	Oncology	0
LIDOCAINE	GBM	Pain management	0
INSULIN HUMAN	GBM	Endocrinology	0
FULVESTRANT	GBM	Oncology	0
CABOZANTINIB	GBM	Oncology	0
AFATINIB DIMALEATE	GBM	Oncology	0
AZD-9291 MESYLATE	GBM	Oncology	0
LAPATINIB	GBM	Oncology	0
PRAMLINTIDE	GBM	Endocrinology	0
SUNITINIB	GBM	Oncology	0
SORAFENIB TOSYLATE	GBM	Oncology	0
EPIRUBICIN	GBM	Oncology	0
METHYLPREDNISOLONE	GBM	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
IFOSFAMIDE	GBM	Oncology	0
MILTEFOSINE	GBM	Immunology/Infectious disease	0
NERATINIB	GBM	Oncology	0
FLOXURIDINE	GBM	Oncology	0
PERTUZUMAB	GBM	Oncology	0
NINTEDANIB ESYLATE	GBM	Pulmonary/Respiratory disease	0
SECOBARBITAL	GBM	Neurology	0
BECAPLERMIN	GBM	Dermatology/Plastic surgery | Endocrinology	0
OLARATUMAB	GBM	Oncology	0
RAMUCIRUMAB	GBM	Oncology	0
SUNITINIB MALATE	GBM	Oncology	0
ITRACONAZOLE	GBM	Immunology/Infectious disease	0
METHOTREXATE SODIUM	GBM	Oncology | Dermatology/Plastic surgery | Musculoskeletal	0
MEPOLIZUMAB	GBM	Pulmonary/Respiratory disease	0
RESLIZUMAB	GBM	Pulmonary/Respiratory disease	0
PEGAPTANIB	GBM	Ophthalmology	1
NECITUMUMAB	GBM	Oncology	0
LAPATINIB DITOSYLATE	GBM	Oncology	0
DABRAFENIB MESYLATE	GBM	Oncology	0
THIOTEPA	GBM	Immunology/Infectious disease | Oncology	0
5-AMINOLEVULINIC ACID	GBM	Dermatology/Plastic surgery	1
ASPARAGINASE	GBM	Oncology	0
ENZALUTAMIDE	GBM	Oncology	0
ABIRATERONE	GBM	Oncology	0
TRABECTEDIN	GBM	Oncology	0
TRIHEXYPHENIDYL	GBM	Neurology	0
CYCLOPENTOLATE	GBM	Ophthalmology	0
TROSPIUM	GBM	Nephrology/Urology	0
TRIHEXYPHENIDYL HYDROCHLORIDE	GBM	Neurology	0
COBIMETINIB FUMARATE	GBM	Oncology	0
1187431-43-1	GBM	Oncology	0
INSULIN GLARGINE	GBM	Endocrinology	1
MECASERMIN	GBM	Endocrinology	1
ZINC CHLORIDE	GBM	Nutraceutical	0
TRIFLURIDINE	GBM	Immunology/Infectious disease | Ophthalmology	0
PEGADEMASE BOVINE	GBM	Immunology/Infectious disease	0
EDARAVONE	GBM	Musculoskeletal	1
DIMETHYL FUMARATE	GBM	Neurology	0
LOVASTATIN ACID	GBM	Cardiology/Vascular disease	0
IRINOTECAN	HNSC	Oncology	0
ETHANOL	HNSC	Neurology	0
MIDOSTAURIN	HNSC	Oncology	0
CARBOPLATIN	HNSC	Oncology	0
RETINOIC ACID	HNSC	Dermatology/Plastic surgery | Oncology	0
VINCRISTINE	HNSC	Oncology	0
CYTARABINE	HNSC	Oncology	0
STREPTOZOCIN	HNSC	Oncology	0
IDELALISIB	HNSC	Oncology	0
COPANLISIB	HNSC	Oncology	0
RAPAMYCIN	HNSC	Immunology/Infectious disease | Nephrology/Urology	0
EVEROLIMUS	HNSC	Immunology/Infectious disease | Nephrology/Urology | Oncology	0
TEMSIROLIMUS	HNSC	Oncology	0
METFORMIN	HNSC	Endocrinology	0
PAZOPANIB	HNSC	Oncology	0
5-FLUOROURACIL	HNSC	Oncology | Dermatology/Plastic surgery	0
6-MERCAPTOPURINE	HNSC	Oncology	0
OXALIPLATIN	HNSC	Oncology	0
PHENYTOIN	HNSC	Neurology	0
PACLITAXEL	HNSC	Oncology	0
CYCLOPHOSPHAMIDE	HNSC	Oncology | Nephrology/Urology	0
BEVACIZUMAB	HNSC	Oncology	0
GEMCITABINE	HNSC	Oncology	0
PEMETREXED	HNSC	Oncology	0
L-ASCORBIC ACID	HNSC	Nutraceutical	0
LITHIUM	HNSC	Psychiatry/Psychology	0
CARBAMAZEPINE	HNSC	Neurology | Psychiatry/Psychology	0
DASATINIB	HNSC	Oncology	0
REGORAFENIB	HNSC	Oncology	0
VANDETANIB	HNSC	Oncology	0
DOXORUBICIN	HNSC	Oncology	0
BROMOCRIPTINE	HNSC	Endocrinology | Neurology	0
GLYCEROL	HNSC	Gastroenterology	0
INDOMETHACIN	HNSC	Pain management | Musculoskeletal	0
PALIFERMIN	HNSC	Dental/Maxillofacial surgery	0
CYCLOSPORIN A	HNSC	Immunology/Infectious disease | Ophthalmology	0
TRASTUZUMAB	HNSC	Oncology	0
RITUXIMAB	HNSC	Oncology	0
HALOPERIDOL	HNSC	Psychiatry/Psychology	0
PROGESTERONE	HNSC	Endocrinology | Obstetrics/Gynecology	0
NINTEDANIB	HNSC	Pulmonary/Respiratory disease	0
PONATINIB	HNSC	Oncology	0
IBRUTINIB	HNSC	Oncology	0
PAZOPANIB HYDROCHLORIDE	HNSC	Oncology	0
VORINOSTAT	HNSC	Oncology	0
BELINOSTAT	HNSC	Oncology	0
BORTEZOMIB	HNSC	Oncology	0
RUXOLITINIB	HNSC	Oncology	0
ROSIGLITAZONE	HNSC	Endocrinology	0
ISOPROTERENOL	HNSC	Pulmonary/Respiratory disease	0
THALIDOMIDE	HNSC	Dermatology/Plastic surgery | Oncology	0
PROPYLTHIOURACIL	HNSC	Endocrinology	0
ARSENIC TRIOXIDE	HNSC	Oncology	0
DEXAMETHASONE	HNSC	Ophthalmology	0
MITOMYCIN C	HNSC	Oncology	0
CAPECITABINE	HNSC	Oncology	0
NITROGLYCERIN	HNSC	Cardiology/Vascular disease | Gastroenterology	0
RIBOCICLIB	HNSC	Oncology	0
TRAMETINIB	HNSC	Oncology	0
COBIMETINIB	HNSC	Oncology	0
PANITUMUMAB	HNSC	Oncology	0
SORAFENIB	HNSC	Oncology	0
VEMURAFENIB	HNSC	Oncology	0
PALBOCICLIB	HNSC	Oncology	0
AZD-9291	HNSC	Oncology	0
GEFITINIB	HNSC	Oncology	0
DABRAFENIB	HNSC	Oncology	0
ABEMACICLIB	HNSC	Oncology	0
RALOXIFENE	HNSC	Musculoskeletal | Oncology	0
TARENFLURBIL	HNSC	Pain management | Musculoskeletal	0
ABT-199	HNSC	Oncology	0
HYDROCORTISONE	HNSC	Dermatology/Plastic surgery	0
SIMVASTATIN	HNSC	Hematology	0
METHIMAZOLE	HNSC	Endocrinology	0
PREDNISOLONE	HNSC	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
TAMOXIFEN	HNSC	Oncology	0
IMATINIB	HNSC	Oncology	0
CRIZOTINIB	HNSC	Oncology	0
DEHYDROEPIANDROSTERONE	HNSC	Obstetrics/Gynecology	0
DIMETHYL SULFOXIDE	HNSC	Pain management | Nephrology/Urology	0
ERLOTINIB	HNSC	Oncology	0
URSODEOXYCHOLIC ACID	HNSC	Gastroenterology	0
SULINDAC	HNSC	Pain management | Musculoskeletal	0
DECITABINE	HNSC	Hematology	0
OLAPARIB	HNSC	Oncology	0
RUCAPARIB	HNSC	Oncology	0
NIRAPARIB	HNSC	Oncology	0
ENALAPRIL	HNSC	Cardiology/Vascular disease	0
FLUDARABINE PHOSPHATE	HNSC	Oncology	1
CLOFARABINE	HNSC	Oncology	1
GEMCITABINE HYDROCHLORIDE	HNSC	Oncology	1
NETARSUDIL	HNSC	Ophthalmology	0
ETOPOSIDE	HNSC	Oncology	0
VITAMIN E	HNSC	Nutraceutical	0
TRIFLUOPERAZINE	HNSC	Psychiatry/Psychology	0
DAUNORUBICIN	HNSC	Oncology	0
IDARUBICIN	HNSC	Oncology	0
ALECTINIB	HNSC	Oncology	0
TOPOTECAN	HNSC	Oncology	0
LETROZOLE	HNSC	Oncology	0
TEMOZOLOMIDE	HNSC	Oncology	0
ADO-TRASTUZUMAB EMTANSINE	HNSC	Oncology	0
OXCARBAZEPINE	HNSC	Neurology	0
INSULIN HUMAN	HNSC	Endocrinology	0
CAPSAICIN	HNSC	Immunology/Infectious disease | Neurology | Pain management	0
FLUTAMIDE	HNSC	Oncology	0
FULVESTRANT	HNSC	Oncology	0
CABOZANTINIB	HNSC	Oncology	0
BICALUTAMIDE	HNSC	Oncology	0
AFATINIB DIMALEATE	HNSC	Oncology	0
AZD-9291 MESYLATE	HNSC	Oncology	0
LAPATINIB	HNSC	Oncology	0
PRAMLINTIDE	HNSC	Endocrinology	0
BUMETANIDE	HNSC	Cardiology/Vascular disease	0
EPIRUBICIN	HNSC	Oncology	0
LEVODOPA	HNSC	Neurology	0
METHYLPREDNISOLONE	HNSC	Ophthalmology | Immunology/Infectious disease | Gastroenterology | Nephrology/Urology | Hematology | Dermatology/Plastic surgery | Endocrinology | Neurology | Pulmonary/Respiratory disease | Musculoskeletal	0
IFOSFAMIDE	HNSC	Oncology	0
MILTEFOSINE	HNSC	Immunology/Infectious disease	0
NERATINIB	HNSC	Oncology	0
FLOXURIDINE	HNSC	Oncology	0
PERTUZUMAB	HNSC	Oncology	0
NINTEDANIB ESYLATE	HNSC	Pulmonary/Respiratory disease	0
ITRACONAZOLE	HNSC	Immunology/Infectious disease	0
METHOTREXATE SODIUM	HNSC	Oncology | Dermatology/Plastic surgery | Musculoskeletal	0
ABACAVIR	HNSC	Immunology/Infectious disease	0
PEGAPTANIB	HNSC	Ophthalmology	1
NECITUMUMAB	HNSC	Oncology	0
LAPATINIB DITOSYLATE	HNSC	Oncology	0
RIBOCICLIB SUCCINATE	HNSC	Oncology	0
THIOTEPA	HNSC	Immunology/Infectious disease | Oncology	0
MIGLUSTAT	HNSC	Storage disease	0
ELIGLUSTAT TARTRATE	HNSC	Storage disease	0
5-AMINOLEVULINIC ACID	HNSC	Dermatology/Plastic surgery	1
ASPARAGINASE	HNSC	Oncology	0
ENZALUTAMIDE	HNSC	Oncology	0
ABIRATERONE	HNSC	Oncology	0
TRABECTEDIN	HNSC	Oncology	0
ATOVAQUONE	HNSC	Immunology/Infectious disease	0
ZINC CHLORIDE	HNSC	Nutraceutical	0
TRIFLURIDINE	HNSC	Immunology/Infectious disease | Ophthalmology	0
PEGADEMASE BOVINE	HNSC	Immunology/Infectious disease	0
EDARAVONE	HNSC	Musculoskeletal	1
DIMETHYL FUMARATE	HNSC	Neurology	0
LOVASTATIN ACID	HNSC	Cardiology/Vascular disease	0
IRINOTECAN	KIRC	Oncology	0
